station_a,station_b,pair_type,uparea_a,uparea_b,kge_a,kge_b,mean_ndiff,ndiff_param_CalChanMan1,ndiff_param_CalChanMan3,ndiff_param_GwLoss,ndiff_param_GwPercValue,ndiff_param_LZThreshold,ndiff_param_LakeMultiplier,ndiff_param_LowerZoneTimeConstant,ndiff_param_PowerPrefFlow,ndiff_param_SnowMeltCoef,ndiff_param_TransSub,ndiff_param_UpperZoneTimeConstant,ndiff_param_b_Xinanjiang
5507.0,5494.0,direct,1.5577133e+10,1.29913e+12,0.788484,0.786123,0.5983841486938218,0.5233508888888889,0.9962377777777777,0.48635300000000004,0.1538030150753769,0.45526399999999995,0.897732,0.9699330434782608,0.8350574666666667,0.8373599999999999,0.10653039999999998,0.28473368342085514,0.634254509018036
5521.0,5494.0,direct,6.0623736e+11,1.29913e+12,0.866136,0.786123,0.5831144376098082,0.9638531111111112,0.6883844444444445,0.9207538,0.2173316582914573,0.23154000000000002,0.9941313333333334,0.39168956521739134,0.8207798666666667,0.3336549999999998,0.11664258666666666,0.4929932483120779,0.8256186372745491
16567.0,5494.0,direct,3.793335e+09,1.29913e+12,0.304095,0.786123,0.5786297575837225,0.04363599999999998,0.9986688888888889,0.99671974,0.27995427135678397,0.04788666666666662,0.6666666666666666,0.7757895652173913,0.7804059999999999,0.8403624999999999,0.09988506666666666,0.509507376844211,0.9040743486973948
5483.0,5494.0,direct,1.095601e+10,1.29913e+12,0.127627,0.786123,0.5716462831618623,0.9593175555555555,0.1111111111111111,0.99800964,0.2718994974874372,0.4291666666666666,0.6666666666666666,0.2538214492753623,0.8136366666666667,0.8021399999999999,0.09522826666666666,0.509507376844211,0.949250501002004
5507.0,5479.0,sibling,1.5577133e+10,2.6971335e+10,0.788484,0.881382,0.5691282868822959,0.4937684444444444,0.9916459999999999,0.020677000000000056,0.24590854271356782,0.475364,0.897732,0.6654840579710144,0.7659134666666667,0.87208,0.011387746666666665,0.7346984246061514,0.6548797595190381
16567.0,5512.0,sibling,3.793335e+09,1.855581e+10,0.304095,0.480593,0.5603924234016173,0.6820237777777778,0.9986688888888889,0.70675574,0.3934819095477387,0.36677333333333334,0.6666666666666666,0.5330318840579711,0.9449566666666667,0.0,0.01807514666666667,0.9281045261315328,0.48617054108216434
15470.0,15170.0,sibling,1.2059594e+09,2.0997527e+09,0.682553,0.779078,0.5599252885403861,0.5188533333333333,0.3965577777777778,1.0,0.43141206030150747,0.829977,0.0,0.5007766666666666,0.5136466666666667,0.48173749999999993,0.9998066666666666,0.059737434358589636,0.9865983567134269
16567.0,5479.0,sibling,3.793335e+09,2.6971335e+10,0.304095,0.881382,0.5504814513277521,0.014053555555555554,0.9940771111111112,0.53104374,0.3720597989949749,0.06798666666666667,0.6666666666666666,0.471340579710145,0.711262,0.8750825,0.01803308,0.9594721180295073,0.9246995991983968
6185.0,18223.0,direct,3.4602733e+11,4.9018244e+11,0.253248,0.187312,0.5485853381104987,0.9546100000000001,0.0050733333333333125,0.93147,0.7177422110552764,0.36868000000000006,0.14196666666666666,0.7568401449275363,0.2890053333333333,0.0,1.0,0.8728027006751687,0.5448336673346693
5514.0,5494.0,direct,5.6703336e+10,1.29913e+12,0.765147,0.786123,0.5389209706664223,0.9832975555555554,0.7154422222222222,0.99569134,0.2350743718592965,0.6141143333333333,0.9998666666666667,0.1443895652173913,0.3384066666666666,0.5254199999999999,0.11990346040000001,0.1068142035508877,0.68863126252505
16133.0,5793.0,sibling,3.508579e+09,2.0840799e+11,0.777128,0.557583,0.5385571022524417,0.4236288888888889,0.7887111111111111,0.816444,0.2261206030150754,0.33961633333333335,0.6666666666666666,0.26180869565217396,0.8354053333333333,0.819645,0.02878506666666667,0.2927306826706677,0.9631228456913828
16133.0,7161.0,direct,3.508579e+09,5.795578e+11,0.777128,0.273879,0.5385571022524417,0.4236288888888889,0.7887111111111111,0.816444,0.2261206030150754,0.33961633333333335,0.6666666666666666,0.26180869565217396,0.8354053333333333,0.819645,0.02878506666666667,0.2927306826706677,0.9631228456913828
