ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,elv_mean,elv_median,laii_mean,laii_median,laif_mean,laif_median,gradient_mean,gradient_median,lusemask_mean,lusemask_median,soildepth1_f_mean,soildepth1_f_median,soildepth1_o_mean,soildepth1_o_median,fracforest_mean,fracforest_median,fracirrigated_mean,fracirrigated_median,fracother_mean,fracother_median,ksat1_f_mean,ksat1_f_median,ksat1_o_mean,ksat1_o_median
4,Barby,Elbe,Elbe,1004,DE,94060.0,93699.47,51.984836,11.882244,11.875,52.025,NRT,calibrated,01/01/1980 00:00',01/01/2000 00:00',01/01/1980 00:00',0.843939,0.0302549,KGEJSD,Europe,ElbeOderEmsWeser,380.17106773969954,372.3415222167969,1.4626098311766933,1.4621959924697876,2.283379237668686,2.297122001647949,0.008484370158576404,0.006045664194971323,1.0,1.0,50.0,50.0,50.0,50.0,0.371744629260766,0.3394802212715149,0.0008788114355175597,0.0,0.5670033943300096,0.5848201513290405,122.59878288529872,105.77596594644987,122.59878288529872,105.77596594644987
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879.0,60938.53,51.856531,12.646309,12.625,51.875,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',01/01/1991 00:00',0.834721,0.00902574,KGEJSD,Europe,ElbeOderEmsWeser,423.276765266486,427.3036804199219,1.422023681976005,1.4244277477264404,2.263140993249054,2.270871162414551,0.009055041481262283,0.006388369482010603,1.0,1.0,50.0,50.0,50.0,50.0,0.40808792786878567,0.3843376338481903,0.0009992333630857572,0.0,0.5359881627828026,0.5478900372982025,133.86784684478573,117.30026682121243,133.86784684478573,117.30026682121243
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879.0,3161.95,53.190627,11.345254,11.425,53.175,NRT,calibrated,01/01/1980 00:00',31/12/2010 00:00',31/12/1990 00:00',0.867403,0.0809633,KGEJSD,Europe,ElbeOderEmsWeser,62.76301061176276,66.0163803100586,1.3809980386662184,1.3763548135757446,2.141029584122924,2.1292402744293213,0.0013584606553951157,0.0010070860153064132,1.0,1.0,50.0,50.0,50.0,50.0,0.3230958651817179,0.28723347187042236,0.0009702746263701298,0.0,0.5506242170706849,0.6019567847251892,376.5821456391002,384.8105764179935,376.5821456391002,384.8105764179935
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625,efas,calibrated,01/01/1990 00:00',19/05/2010 00:00',17/05/1990 00:00',0.787487,0.0735495,KGEJSD,Europe,ElbeOderEmsWeser,77.71931776069512,57.408226013183594,1.2654688452346443,1.2471858263015747,2.114710326843325,2.125196695327759,0.0019426201660819986,0.001187336165457964,1.0,1.0,50.0,50.0,50.0,50.0,0.450473129540678,0.4408133625984192,0.0005347152162407735,0.0,0.46367368338040993,0.45154905319213867,341.4010182118232,335.3150141933057,341.4010182118232,335.3150141933057
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719.0,23560.46,51.916414,11.812211,11.825,51.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.849686,0.0399889,KGEJSD,Europe,ElbeOderEmsWeser,291.2208078883262,256.1271667480469,1.5327744303424993,1.531873345375061,2.3046526500728475,2.2974977493286133,0.007574659020332202,0.0056846956722438335,1.0,1.0,50.0,50.0,50.0,50.0,0.28336701153498695,0.19143840670585632,0.0006908719281321949,0.0,0.6469020949225989,0.7001359462738037,85.78032798170133,81.95510291668269,85.78032798170133,81.95510291668269
12,Tangermuende,Elbe,Elbe,1004,DE,97780.0,97683.92,52.541308,11.978054,11.975,52.575,HIST,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.844505,0.0325032,KGEJSD,Europe,ElbeOderEmsWeser,367.7892302628803,355.6098327636719,1.4577236871321348,1.4580403566360474,2.2785095082075073,2.2901601791381836,0.008225884323081094,0.005697361659258604,1.0,1.0,50.0,50.0,50.0,50.0,0.3666964745919496,0.3325738310813904,0.0010640616344296176,0.0,0.5718814049072556,0.5900602638721466,126.6188390046365,107.94064279633646,126.6188390046365,107.94064279633646
14,Wittenberge,Elbe,Elbe,1004,DE,123532.0,122945.86,52.985531,11.759441,11.775,52.975,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',27/12/1990 00:00',0.850485,0.0228599,KGEJSD,Europe,ElbeOderEmsWeser,306.77654958217016,268.3841094970703,1.419338127497094,1.4237496256828308,2.2493949524614365,2.2557419538497925,0.006896906961072571,0.0039558804128319025,1.0,1.0,50.0,50.0,50.0,50.0,0.3790827903058326,0.3503672033548355,0.0009421856048359779,0.0,0.5569690646888893,0.572885736823082,174.81776195398677,121.89503041346615,174.81776195398677,121.89503041346615
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858.0,23639.57,52.824075,12.07804,12.075,52.825,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',29/04/1997 00:00',0.784232,0.0721023,KGEJSD,Europe,ElbeOderEmsWeser,71.78144655086793,55.449941635131836,1.2633229037283509,1.2493418455123901,2.13956149557138,2.147773265838623,0.0017495434440481712,0.0010704610613174736,1.0,1.0,50.0,50.0,50.0,50.0,0.439863683056647,0.4233475774526596,0.0005032286645705351,0.0,0.48362860725786233,0.48251593112945557,358.48668193577186,353.6711663423936,358.48668193577186,353.6711663423936
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988.0,17857.22,51.514254,11.954551,11.925,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.841773,0.0723433,KGEJSD,Europe,ElbeOderEmsWeser,322.6516682429253,288.3039245605469,1.553106976681861,1.5545368194580078,2.3032516251334827,2.3170697689056396,0.008133994040189845,0.006331145530566573,1.0,1.0,50.0,50.0,50.0,50.0,0.30712255317471404,0.24305007606744766,0.00032693637859750486,0.0,0.6195877434129341,0.6549591571092606,80.51841384838946,79.70306746944269,80.51841384838946,79.70306746944269
19,Neu Darchau,Elbe,Elbe,1004,DE,131950.0,131611.79,53.232262,10.8888,10.975,53.225,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.875114,0.0104381,KGEJSD,Europe,ElbeOderEmsWeser,289.6859416130926,242.95684814453125,1.4178220945808468,1.421929121017456,2.241297600582385,2.249272108078003,0.006547644279967127,0.0034927160013467073,1.0,1.0,50.0,50.0,50.0,50.0,0.3746378232548064,0.34110593795776367,0.0012161118338644967,0.0,0.5609099892914144,0.5807048678398132,186.86592056250942,128.25048023315952,186.86592056250942,128.25048023315952
