ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,CalChanMan1,CalChanMan3,GwLoss,GwPercValue,LZThreshold,LakeMultiplier,LowerZoneTimeConstant,PowerPrefFlow,SnowMeltCoef,TransSub,UpperZoneTimeConstant,b_Xinanjiang
78,Torgau,Elbe,Elbe,1007,DE,55211.0,55441.79,51.553713,13.01012,13.025,51.575,HIST,calibrated,01/01/1980 00:00',01/01/2023 00:00',22/12/1992 00:00',0.832615,0.0141756,KGEJSD,Europe,ElbeOderEmsWeser,0.5,5.0,0.0258191,0.25376,17.9592,1.0,203.935,1.77912,4.22376,5.85103e-05,23.5487,3.60679
79,Lichtenwalde 1,Elbe,Zschopau,1007,DE,1575.0,1573.39,50.886191,13.020015,13.025,50.875,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.75882,0.0162362,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.0,0.0573031,0.598696,25.1238,1.0,173.611,1.30847,4.18372,0.00280536,6.90454,3.09988
81,Kleindalzig,Elbe,White Elster,1007,DE,2891.0,2849.03,51.210414,12.291583,12.275,51.225,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',30/10/1991 00:00',0.792456,0.029743,KGEJSD,Europe,ElbeOderEmsWeser,4.56148,1.0,0.288051,0.927225,0.222751,1.0,170.223,3.07836,4.80574,0.0223804,7.57227,0.999524
83,Bad Dueben 1,Elbe,United Mulde,1007,DE,6171.0,6188.68,51.590779,12.580715,12.575,51.575,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',05/11/1994 00:00',0.804582,0.00336032,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.0,0.247042,0.808075,26.6951,1.0,145.958,1.53795,4.34227,0.0142026,26.6446,1.14566
85,Boehlen 1,Elbe,Pleisse,1007,DE,1359.0,1289.89,51.211917,12.387218,12.375,51.225,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.731631,0.0660847,KGEJSD,Europe,ElbeOderEmsWeser,4.81373,1.0,0.298712,1.08308,5.06715,1.0,129.378,2.86696,4.36125,0.0334296,15.2803,0.431796
86,Neuwiese,Elbe,Blacl Elster,1007,DE,669.0,679.12,51.476458,14.197033,14.225,51.475,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',08/09/1993 00:00',0.768524,0.0281653,KGEJSD,Europe,ElbeOderEmsWeser,4.3066,1.0,0.323806,0.586736,5.64316,1.0,310.313,2.43698,6.2051,0.0456389,15.2405,0.551838
89,Dresden,Elbe,Elbe,1007,DE,53096.0,53051.05,51.054481,13.738831,13.725,51.075,HIST,calibrated,01/01/1980 00:00',01/01/2023 00:00',23/12/1992 00:00',0.822708,0.00946961,KGEJSD,Europe,ElbeOderEmsWeser,2.71911,4.60341,0.030735,0.190605,8.9914,1.0,47.2417,3.7137,3.86466,0.00297755,23.4125,0.01
93,Spreewitz,Elbe,Spree,1007,DE,2033.0,2096.91,51.510861,14.404286,14.425,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.70285,0.0124871,KGEJSD,Europe,ElbeOderEmsWeser,3.91751,1.0,0.0817908,0.96454,22.2315,1.0,186.519,3.09793,5.6104,0.0324319,14.95,0.01
94,Goerlitz,Oder,Lusatian Neisse,1007,DE,1621.0,1642.46,51.161195,14.993189,14.975,51.125,NRT,calibrated,21/04/2009 00:00',16/03/2023 00:00',21/04/2009 00:00',0.768478,0.0231104,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.0,0.212361,1.87141,5.10273,1.0,52.3499,1.5956,3.8971,0.0298165,3.31144,1.81369
95,Gornja Radgona,Danube,Mur,1005,SI,10197.2,10411.5,46.6811,15.9956,16.025,46.675,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.86027,0.0118127,KGEJSD,Europe,Danube,4.4791,1.0,0.233127,1.56656,12.4097,1.0,707.086,1.07125,3.32415,0.008094,26.3641,3.16311
96,Ptuj,Danube,Drava,1005,SI,13664.1,13778.92,46.4169,15.8675,15.825,46.425,NRT,calibrated,14/04/2009 00:00',01/01/2024 00:00',14/04/2009 00:00',0.868333,0.00832332,KGEJSD,Europe,Danube,2.68273,1.0,0.000659845,0.356074,17.837,1.0,45.217,2.75087,5.88719,0.0,12.9732,1.31531
98,Radovljica,Danube,Sava,1005,SI,907.97,919.49,46.34,14.1654,14.175,46.325,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.621529,0.1199,KGEJSD,Europe,Danube,1.92157,1.0,0.000915517,1.41026,5.57792,1.0,40.0,3.55677,5.14657,0.0,3.27598,1.09106
106,Veliko Širje,Danube,Savinja,1005,SI,1841.9,1798.91,46.0919,15.1924,15.225,46.075,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.752053,0.0387444,KGEJSD,Europe,Danube,4.97208,1.0,0.00131333,1.43297,13.9959,1.0,188.45,1.55371,6.03636,8.27569e-06,5.52356,4.99902
107,Podbočje,Danube,Krka,1005,SI,2238.12,1793.17,45.8644,15.4555,15.525,45.875,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.75158,0.0354071,KGEJSD,Europe,Danube,2.88813,1.0,0.118839,0.725561,19.6399,1.0,176.99,1.17961,4.17389,0.00308073,4.43781,2.41629
108,Solkan,Soca/Isonzo,Soca,1005,SI,1572.8,1437.89824,45.98162,13.65517,13.625,45.975,NRT,calibrated,29/05/2009 00:00',01/01/2024 00:00',29/05/2009 00:00',0.543287,0.137786,KGEJSD,Europe,SouthEastTurkeyIsraelDon,4.21401,1.0,0.0,0.442835,20.3864,1.0,352.906,1.65244,4.67886,0.0,22.3142,5.0
109,Bollendorf,Rhine,Saar,1010,DE,3222.0,3277.75,49.850921,6.359171,6.325,49.825,NRT,calibrated,19/04/2009 00:00',01/01/2024 00:00',19/04/2009 00:00',0.858317,0.0242452,KGEJSD,Europe,RhineMaasScheldtSeine,3.02622,1.0,0.135665,0.937375,25.7724,1.0,105.171,1.597,3.88108,0.0237651,4.84546,2.88116
113,Martinstein,Rhine,Nahe,1010,DE,1468.0,1501.41,49.803795,7.536,7.525,49.825,NRT,calibrated,19/04/2009 00:00',01/01/2024 00:00',19/04/2009 00:00',0.778539,0.0288002,KGEJSD,Europe,RhineMaasScheldtSeine,4.7224,1.0,0.0454616,0.270269,23.2031,1.0,704.324,2.54156,4.87794,0.0107485,15.5782,2.79918
