ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,glacier_frac
58,Düsseldorf,Rhine,Rhine,1004,DE,147680.43,147773.77,51.225463,6.769909,6.725,51.225,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.943695,0.0150872,KGEJSD,Europe,RhineMaasScheldtSeine,0.020714908739156282
59,Steinbach,Rhine,Main,1004,DE,17914.2,17964.73,50.009961,9.60371,9.625,50.025,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.879503,0.00541015,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
60,Fremersdorf,Rhine,Saar,1004,DE,6983.0,7016.23,49.408914,6.648444,6.675,49.375,NRT,calibrated,24/08/2012 00:00',01/01/2024 00:00',24/08/2012 00:00',0.900586,0.0165993,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
62,Bonn,Rhine,Rhine,1004,DE,140901.0,141121.85,50.736364,7.10807,7.125,50.725,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.946236,0.0132545,KGEJSD,Europe,RhineMaasScheldtSeine,0.021691327928244467
63,Speyer,Rhine,Rhine,1004,DE,53131.0,53071.72,49.323786,8.44876,8.475,49.275,NRT,calibrated,17/08/2012 00:00',01/01/2024 00:00',17/08/2012 00:00',0.936382,0.0117479,KGEJSD,Europe,RhineMaasScheldtSeine,0.05767896120844875
73,Zwickau-Poelbitz,Elbe,Zwickau Mulde,1007,DE,1030.0,1025.17,50.740921,12.493595,12.475,50.725,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',07/09/1994 00:00',0.744969,0.0218375,KGEJSD,Europe,ElbeOderEmsWeser,0.0
75,Wechselburg 1,Elbe,Zwickau Mulde,1007,DE,2107.0,2142.26,51.006848,12.772535,12.775,51.025,NRT,calibrated,21/04/2009 00:00',16/03/2023 00:00',21/04/2009 00:00',0.776079,0.0120556,KGEJSD,Europe,ElbeOderEmsWeser,0.0
78,Torgau,Elbe,Elbe,1007,DE,55211.0,55441.79,51.553713,13.01012,13.025,51.575,HIST,calibrated,01/01/1980 00:00',01/01/2023 00:00',22/12/1992 00:00',0.832615,0.0141756,KGEJSD,Europe,ElbeOderEmsWeser,0.0
79,Lichtenwalde 1,Elbe,Zschopau,1007,DE,1575.0,1573.39,50.886191,13.020015,13.025,50.875,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.75882,0.0162362,KGEJSD,Europe,ElbeOderEmsWeser,0.0
81,Kleindalzig,Elbe,White Elster,1007,DE,2891.0,2849.03,51.210414,12.291583,12.275,51.225,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',30/10/1991 00:00',0.792456,0.029743,KGEJSD,Europe,ElbeOderEmsWeser,0.0
83,Bad Dueben 1,Elbe,United Mulde,1007,DE,6171.0,6188.68,51.590779,12.580715,12.575,51.575,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',05/11/1994 00:00',0.804582,0.00336032,KGEJSD,Europe,ElbeOderEmsWeser,0.0
85,Boehlen 1,Elbe,Pleisse,1007,DE,1359.0,1289.89,51.211917,12.387218,12.375,51.225,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.731631,0.0660847,KGEJSD,Europe,ElbeOderEmsWeser,0.0
86,Neuwiese,Elbe,Blacl Elster,1007,DE,669.0,679.12,51.476458,14.197033,14.225,51.475,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',08/09/1993 00:00',0.768524,0.0281653,KGEJSD,Europe,ElbeOderEmsWeser,0.0
89,Dresden,Elbe,Elbe,1007,DE,53096.0,53051.05,51.054481,13.738831,13.725,51.075,HIST,calibrated,01/01/1980 00:00',01/01/2023 00:00',23/12/1992 00:00',0.822708,0.00946961,KGEJSD,Europe,ElbeOderEmsWeser,0.0
93,Spreewitz,Elbe,Spree,1007,DE,2033.0,2096.91,51.510861,14.404286,14.425,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',06/09/1994 00:00',0.70285,0.0124871,KGEJSD,Europe,ElbeOderEmsWeser,0.0
94,Goerlitz,Oder,Lusatian Neisse,1007,DE,1621.0,1642.46,51.161195,14.993189,14.975,51.125,NRT,calibrated,21/04/2009 00:00',16/03/2023 00:00',21/04/2009 00:00',0.768478,0.0231104,KGEJSD,Europe,ElbeOderEmsWeser,0.0
